author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
林崇德 主编,https://book.douban.com/subject/1028409/,9787533830953, 约 2800,168.00元,1991-4,浙江教育出版社,None,9.4,21124人,,中国少年儿童百科全书（全四册）
[德]格林兄弟 / 魏以新,https://book.douban.com/subject/1043008/,9787020019526, 625,21.45元,1994-11,人民文学出版社,一本有教育意义的书,9.1,101344人,,格林童话全集
[美] 彼得·海斯勒 / 李雪顺,https://book.douban.com/subject/5414391/,9787532752805, 426,33.00元,2011-1,上海译文出版社,《纽约客》驻北京记者驾车漫游中国大陆的经历,9.0,61000人,,寻路中国
王国维,https://book.douban.com/subject/1203426/,9787532524808, 78,9.80元,1998-12,上海古籍出版社,以新眼光评旧文学,9.1,58598人,,人间词话
李娟,https://book.douban.com/subject/10522856/,9787513305662, 320,29.80元,2012-6,新星出版社,阿勒泰的精灵,9.1,47918人,,冬牧场
[俄] 陀思妥耶夫斯基 / 岳麟 / 冯岳麟,https://book.douban.com/subject/1858568/,9787532740079, 471,23.00元,2006-8,上海译文出版社,描绘人内心的全部深度,9.3,40658人,,罪与罚
阿城,https://book.douban.com/subject/26734559/,9787539979359, 179,58.00,2016-3-1,江苏凤凰文艺出版社,None,9.3,35207人,,棋王·树王·孩子王
[韩]崔恩荣 / 叶蕾,https://book.douban.com/subject/36457094/,9787516835265, 296,52,2023-8,台海出版社,None,9.0,64640人,,明亮的夜晚
萧红,https://book.douban.com/subject/1060852/,9787530640470, 271,19.00,2005-01,百花文艺出版社,萧红的童年往事,9.0,90080人,,呼兰河传
[意] 埃莱娜·费兰特 / 陈英,https://book.douban.com/subject/27104959/,9787020132003, 417,62.00元,2017-10,人民文学出版社,探索中年的虚无、困惑、野心和近乎残暴的爱,8.9,90505人,,离开的，留下的
[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 彭小华,https://book.douban.com/subject/26576861/,9787213067792, 248,54.90元,2015-7-31,浙江人民出版社,关于衰老与死亡，你必须知道的常识,9.0,56397人,,最好的告别
三毛,https://book.douban.com/subject/1029111/,9787806399071, 222,15.80元,2003-6,哈尔滨出版社,沙漠中寻常的生与死,9.0,60562人,,哭泣的骆驼
[日] 黑柳彻子 著 / 岩崎千弘 图 / 赵玉皎,https://book.douban.com/subject/1007914/,9787544222976, 288,20.00元,2003-1,南海出版公司,真正懂孩子的教育经,8.9,224747人,,窗边的小豆豆
蘅塘退士 / 陈婉俊,https://book.douban.com/subject/1013267/,9787101001105, 229,0.65,1984-07-01,中华书局,熟读唐诗三百首，不会吟诗也会吟,9.4,30342人,,唐诗三百首
曹天元,https://book.douban.com/subject/1467022/,9787538276374, 369,32.00元,2006-1,辽宁教育出版社,量子物理史话,9.2,36967人,,上帝掷骰子吗
林达,https://book.douban.com/subject/1027191/,9787108010186, 320,19.00元,1997-5,生活·读书·新知三联书店,窥见美国社会的一扇窗,9.0,47874人,,历史深处的忧虑
李泽厚,https://book.douban.com/subject/3410718/,9787108030375, 217,43.00元,2009-7,生活·读书·新知三联书店,中国美学经典之作,9.2,36003人,,美的历程
[美] 卡勒德·胡赛尼,https://book.douban.com/subject/2143732/,9787208072107, 428,28.00元,2007-9,上海人民出版社,唯有希望与爱可以驱散阴霾,8.9,132578人,,灿烂千阳
【马来西亚】黎紫书,https://book.douban.com/subject/35430425/,9787530221280, 476,55.00元,2021-4-1,北京十月文艺出版社,None,9.2,39985人,,流俗地
